time,precip
2015-12-21,2.7783632
2015-12-22,14.241133
2015-12-23,27.799603
2015-12-24,20.358088
2015-12-25,1.4715288
2015-12-26,0.05848086
2015-12-27,0.0
2015-12-28,0.71183753
2015-12-29,2.674935
2015-12-30,3.8009262
2015-12-31,11.18872
2016-01-01,11.756633
2016-01-02,8.060291
2016-01-03,2.2471747
2016-01-04,5.656711
2016-01-05,0.0
2016-01-06,0.92721254
2016-01-07,1.6569352
2016-01-08,3.7400703
2016-01-09,0.45743456
2016-01-10,2.6678755
2016-01-11,0.16132133
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,12.613726
2016-01-16,1.4578519
2016-01-17,16.557962
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.015295458
2016-01-21,0.016406028
2016-01-22,7.7412076
2016-01-23,7.307871
2016-01-24,0.0
2016-01-25,0.00071765913
2016-01-26,0.41311863
2016-01-27,9.854688
2016-01-28,5.3664083
2016-01-29,13.758103
2016-01-30,0.0
2016-01-31,0.0
2016-02-01,1.4053967
2016-02-02,0.0
2016-02-03,0.3394266
2016-02-04,48.11694
2016-02-05,23.853148
2016-02-06,0.032998566
2016-02-07,36.907337
2016-02-08,6.859291
2016-02-09,0.018362306
2016-02-10,0.0
2016-02-11,0.0
2016-02-12,1.8289303
2016-02-13,0.0
2016-02-14,0.0
2016-02-15,2.6856377
2016-02-16,32.384197
2016-02-17,0.09768882
2016-02-18,0.0
2016-02-19,0.0
2016-02-20,0.11018311
2016-02-21,2.8215666
2016-02-22,3.7184746
2016-02-23,5.5063324
2016-02-24,4.79865
2016-02-25,0.19531293
2016-02-26,0.0
2016-02-27,0.0
2016-02-28,0.0
2016-02-29,0.0
2016-03-01,0.0
2016-03-02,0.8443835
2016-03-03,0.06542506
2016-03-04,6.4195786
2016-03-05,0.0
2016-03-06,1.9651339
2016-03-07,0.0
2016-03-08,0.0
2016-03-09,0.0
2016-03-10,0.069909215
2016-03-11,0.66917455
2016-03-12,0.92218524
2016-03-13,0.031987306
2016-03-14,3.9431977
2016-03-15,2.2901735
2016-03-16,0.0
2016-03-17,0.5363954
2016-03-18,6.658805
